id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1598718981799804928	1598718981799804928	2022-12-02 11:41:22 EST	2022-12-02	11:41:22	-0400	2528727363	thierry_warin	Thierry Warin		Publication du rapport « Mieux comprendre le niveau d’adoption des cryptoactifs au Québec » en collaboration avec Robert Normand, directeur de projet CIRANO et @n_demarcellis, professeure titulaire à Polytechnique Montréal, cherche… https://t.co/smmFrTv7O5  https://t.co/hICXq4spjs	fr	[{'screen_name': 'n_demarcellis', 'name': 'n.de marcellis-warin', 'id': '2402056934'}]	['https://lnkd.in/g-3HNhgg', 'https://lnkd.in/eDbF2nrx']	[]	0	0	1	[]	[]	https://twitter.com/thierry_warin/status/1598718981799804928	False		0								[]				
1598471487941447680	1598471487941447680	2022-12-01 19:17:55 EST	2022-12-01	19:17:55	-0400	2528727363	thierry_warin	Thierry Warin		Pour mes étudiant(e)s  https://t.co/92O8jtpE1U	fr	[]	['https://lnkd.in/eRyURt9T']	[]	0	0	0	[]	[]	https://twitter.com/thierry_warin/status/1598471487941447680	False		0								[]				
1591982561668091904	1591982561668091904	2022-11-13 21:33:14 EST	2022-11-13	21:33:14	-0400	2528727363	thierry_warin	Thierry Warin		 https://t.co/9Q00npZRyb	zxx	[]	['https://lnkd.in/empEb3F4']	[]	0	0	1	[]	[]	https://twitter.com/thierry_warin/status/1591982561668091904	False		0								[]				
1590821409747607576	1590821409747607576	2022-11-10 16:39:14 EST	2022-11-10	16:39:14	-0400	2528727363	thierry_warin	Thierry Warin		Heureux d'avoir participé aux portes ouvertes cette fin de semaine pour parler de la  https://t.co/vqgpp848sX. et du Ph.D. à HEC Montréal!  Merci à toute la formidable équipe et en particulier Marianne de Moura, Jehanne Almerigogna, Maude Fournier  et le c… https://t.co/dVcXKrhrz6	fr	[]	['http://M.Sc', 'https://lnkd.in/eYsHiZZ4']	[]	0	0	0	[]	[]	https://twitter.com/thierry_warin/status/1590821409747607576	False		0								[]				
1590757688908156934	1590757688908156934	2022-11-10 12:26:02 EST	2022-11-10	12:26:02	-0400	2528727363	thierry_warin	Thierry Warin		Getting closer to 200,000 scientific references (193,182 today) about all the coronaviruses in the EpiBibR package  Real-time data for coronaviruses research (updated daily on our servers)  Warin T Global Research on Coronaviruses:… https://t.co/a6NXlHAY4U  https://t.co/ZngThLsBYf	en	[]	['https://lnkd.in/dbwM8wgq', 'https://lnkd.in/dzSDAmDh']	[]	0	1	2	[]	[]	https://twitter.com/thierry_warin/status/1590757688908156934	False		0								[]				
1578373888932823042	1578373888932823042	2022-10-07 09:17:14 EDT	2022-10-07	09:17:14	-0400	2528727363	thierry_warin	Thierry Warin		IA et agriculture: Excellente lecture en cette fin de semaine. Bravo Québec Science Mélissa Guillemette #science #agriculture #sciencedesdonnées #ia HEC Montréal CIRANO  https://t.co/DFczOq3OYA	fr	[]	['https://lnkd.in/epzfJPtm']	[]	0	1	4	['science', 'agriculture', 'sciencedesdonnées', 'ia']	[]	https://twitter.com/thierry_warin/status/1578373888932823042	False		0								[]				
1569022813377380354	1569022813377380354	2022-09-11 13:59:24 EDT	2022-09-11	13:59:24	-0400	2528727363	thierry_warin	Thierry Warin		Ravis d’avoir revu l’équipe Team Arkéa-Samsic  lors du Grand Prix Cycliste de Montréal #GPCQM. Bienvenue au Québec!   Bonne course à Warren Barguil et à toute l’équipe!   Hugo Warin Thomas Warin Jean-Pierre Doly Emmanuel Hubert Sebastien Hinault… https://t.co/aUOrMMfYXi	fr	[]	['https://lnkd.in/e7b7bvXz']	[]	0	0	0	['gpcqm']	[]	https://twitter.com/thierry_warin/status/1569022813377380354	False		0								[]				
1569012309900627972	1569012309900627972	2022-09-11 13:17:40 EDT	2022-09-11	13:17:40	-0400	2528727363	thierry_warin	Thierry Warin		Ravis de revoir l’équipe @Arkea_Samsic et de se retrouver en plus au @GPCQM #Montreal !! Allez @WarrenBarguil et toute l’équipe!  https://t.co/H57Vv0epLT	fr	[{'screen_name': 'arkea_samsic', 'name': 'team arkéa samsic', 'id': '1118832613'}, {'screen_name': 'gpcqm', 'name': 'gpcqm', 'id': '115087405'}, {'screen_name': 'warrenbarguil', 'name': 'barguil', 'id': '351113756'}]	[]	['https://pbs.twimg.com/media/FcZAX0_X0AEg8Uq.jpg', 'https://pbs.twimg.com/media/FcZAX0-XEAgLRjI.jpg', 'https://pbs.twimg.com/media/FcZAX09XwAAtnBp.jpg', 'https://pbs.twimg.com/media/FcZAX0_XoAEl38c.jpg']	0	1	11	['montreal']	[]	https://twitter.com/thierry_warin/status/1569012309900627972	False		1	https://pbs.twimg.com/media/FcZAX0_X0AEg8Uq.jpg							[]				
1564763409610166272	1564763409610166272	2022-08-30 19:54:03 EDT	2022-08-30	19:54:03	-0400	2528727363	thierry_warin	Thierry Warin		HEC Montréal département d’Affaires internationales: nous recrutons un.e professeur.e.   Cliquez sur le lien.  The International Business department is hiring a professor.  Click below  #internationalbusiness #internationaldevelopm… https://t.co/98xNB7NTF5  https://t.co/VhJoNYk9JT	fr	[]	['https://lnkd.in/d5aV9ep6', 'https://lnkd.in/dbFy_7k6']	[]	0	1	0	['internationalbusiness', 'internationaldevelopm']	[]	https://twitter.com/thierry_warin/status/1564763409610166272	False		0								[]				
1563559226290892800	1563559226290892800	2022-08-27 12:09:03 EDT	2022-08-27	12:09:03	-0400	2528727363	thierry_warin	Thierry Warin		Risques liés aux chaînes d’approvisionnement : réalité vécue et perceptions de la population du Québec  Publication #SERIE #PERSPECTIVE #CIRANO 👉  https://t.co/PQ9T3mfQN9  #ChainesApprovisionnement #défis #Covid19  #GuerreUkraine  #PopulationQuébec  #baro… https://t.co/LZjwiaMj6j	fr	[]	['https://lnkd.in/e9Ncy_3Z', 'https://lnkd.in/ete9N6wZ']	[]	0	0	6	['serie', 'perspective', 'cirano', 'chainesapprovisionnement', 'défis', 'covid19', 'guerreukraine', 'populationquébec', 'baro']	[]	https://twitter.com/thierry_warin/status/1563559226290892800	False		0								[]				
